Region,technology,parameter,Unit,value,availability,Description,Source,Unnamed: 8
R11_CPA,agg_ref,output|fueloil|secondary|vacuum_residue,GWyr/GWyr,1.0,1980.0,,,
R11_CPA,steam_cracker_petro,emission_factor|CO2|naphtha,MtC/Mt,0.1309090909090909,1980.0,0.8 Tco2/t-HVC. Steam cracker produces 0.6 t of HVC.,Energy Technology Transitions for Industry,
R11_CPA,steam_cracker_petro,emission_factor|CO2|atm_gasoil,MtC/Mt,0.1309090909090909,1980.0,,,
R11_CPA,steam_cracker_petro,emission_factor|CO2|vacuum_gasoil,MtC/Mt,0.1309090909090909,1980.0,,,
R11_CPA,steam_cracker_petro,emission_factor|CO2|ethane,MtC/Mt,0.19636363636363638,1980.0,0.9 Tco2/t-HVC. Steam cracker produces 0.8 t of ethane,,
R11_CPA,steam_cracker_petro,emission_factor|CO2|propane,MtC/Mt,0.14727272727272728,1980.0,With propane 0.6 * act of HVC,,
R11_GLB,trade_petro,input|ethylene|export|ethylene,,1.0,1980.0,,,
R11_GLB,trade_petro,input|propylene|export|propylene,,1.0,1980.0,,,
R11_GLB,trade_petro,input|BTX|export|BTX,,1.0,1980.0,,,
R11_GLB,trade_petro,output|ethylene|import|ethylene,,1.0,1980.0,,,
R11_GLB,trade_petro,output|propylene|import|propylene,,1.0,1980.0,,,
R11_GLB,trade_petro,output|BTX|import|BTX,,1.0,1980.0,,,
R11_GLB,trade_petro,var_cost|ethylene,MUSD/Mt,50.0,1980.0,https://www.hellenicshippingnews.com/commodities-2020-chemical-freight-rates-set-to-rise-on-imo-2020-as-tonnage-glut-caps-gains/,,
R11_GLB,trade_petro,var_cost|propylene,MUSD/Mt,50.0,1980.0,https://www.hellenicshippingnews.com/commodities-2020-chemical-freight-rates-set-to-rise-on-imo-2020-as-tonnage-glut-caps-gains/,,
R11_GLB,trade_petro,var_cost|BTX,MUSD/Mt,50.0,1980.0,https://www.hellenicshippingnews.com/commodities-2020-chemical-freight-rates-set-to-rise-on-imo-2020-as-tonnage-glut-caps-gains/,,
R11_CPA,import_petro,input|ethylene|import|ethylene,,1.0,1980.0,,,
R11_CPA,import_petro,input|propylene|import|propylene,,1.0,1980.0,,,
R11_CPA,import_petro,input|BTX|import|BTX,,1.0,1980.0,,,
R11_CPA,import_petro,output|ethylene|final_material|ethylene,,1.0,1980.0,,,
R11_CPA,import_petro,output|propylene|final_material|propylene,,1.0,1980.0,,,
R11_CPA,import_petro,output|BTX|final_material|BTX,,1.0,1980.0,,,
R11_CPA,export_petro,input|ethylene|final_material|ethylene,,1.0,1980.0,,,
R11_CPA,export_petro,input|propylene|final_material|propylene,,1.0,1980.0,,,
R11_CPA,export_petro,input|BTX|final_material|BTX,,1.0,1980.0,,,
R11_CPA,export_petro,output|ethylene|export|ethylene,,1.0,1980.0,,,
R11_CPA,export_petro,output|propylene|export|propylene,,1.0,1980.0,,,
R11_CPA,export_petro,output|BTX|export|BTX,,1.0,1980.0,,,
R11_CPA,export_petro,inv_cost,MUSD/Mt,250.0,1980.0,existing MESSAGE value,,
R11_CPA,export_petro,technical_lifetime,,30.0,1980.0,existing MESSAGE value for coal_exp,,
R11_CPA,steam_cracker_petro,growth_activity_lo,,-0.1,1980.0,,,
R11_CPA,steam_cracker_petro,growth_activity_up,,0.1,1980.0,,,
R11_CPA,ethanol_to_ethylene_petro,growth_activity_lo,,-0.1,1980.0,,,
R11_CPA,ethanol_to_ethylene_petro,growth_activity_up,,0.1,1980.0,,,
R11_CPA,demand_HVC,input|BTX|final_material|BTX,,1.0,1980.0,,,
R11_CPA,demand_HVC,input|propylene|final_material|propylene,,1.0,1980.0,,,
R11_CPA,demand_HVC,input|ethylene|final_material|ethylene,,1.0,1980.0,,,
R11_CPA,demand_HVC,output|HVC|demand|BTX,,1.0,1980.0,,,
R11_CPA,demand_HVC,output|HVC|demand|propylene,,1.0,1980.0,,,
R11_CPA,demand_HVC,output|HVC|demand|ethylene,,1.0,1980.0,,,
