Variable,Unit,Definition
Capacity|Liquids|Coal|w/ CCS|2,GW,"Total installed (available) capacity of coal to liquids plants with CCS. The installed (available) capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/ CCS|1, ..., Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity|Liquids|Coal|w/o CCS,GW,"Total installed (available) capacity of coal to liquids plants without CCS. The installed (available) capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/o CCS|1, ..., Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity|Liquids|Coal|w/o CCS|1,GW,"Total installed (available) capacity of coal to liquids plants without CCS. The installed (available) capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/o CCS|1, ..., Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity|Liquids|Coal|w/o CCS|2,GW,"Total installed (available) capacity of coal to liquids plants without CCS. The installed (available) capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/o CCS|1, ..., Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity|Liquids|Gas,GW,Total installed (available) capacity of gas to liquids plants.
Capacity|Liquids|Gas|w/ CCS,GW,"Total installed (available) capacity of gas to liquids plants with CCS. The installed (available) capacity of CCS gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Gas|w/ CCS|1, ..., Capacity|Liquids|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity|Liquids|Gas|w/o CCS,GW,"Total installed (available) capacity of gas to liquids plants without CCS. The installed (available) capacity of gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Gas|w/o CCS|1, ..., Capacity|Liquids|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity|Liquids|Oil,GW,"Total installed (available) capacity of oil refining plants. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/ CCS|1, ..., Capacity|Liquids|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity|Liquids|Oil|w/ CCS,GW,"Total installed (available) capacity of oil refining plants with CCS. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/ CCS|1, ..., Capacity|Liquids|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity|Liquids|Oil|w/o CCS,GW,"Total installed (available) capacity of oil refining plants without CCS. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/o CCS|1, ..., Capacity|Liquids|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity|Liquids|Oil|w/o CCS|1,GW,"Total installed (available) capacity of oil refining plants without CCS. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/o CCS|1, ..., Capacity|Liquids|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity|Liquids|Oil|w/o CCS|2,GW,"Total installed (available) capacity of oil refining plants without CCS. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/o CCS|1, ..., Capacity|Liquids|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capacity|Liquids|Other,GW,Total installed (available) capacity of other liquid production plants.
Capital Cost|Carbon Sequestration|Direct Air Capture,US$2010/(tC/yr) OR local currency/(tC/yr),"Capital cost of a new DACCS. If more than one refinery technology is modelled, modellers should report capital costs for each represented DACCS technology by adding variables Capital Cost|Direct Air Capture|2, ... Capital Cost|Liquids|Oil|N (with N = number of represented technologies). It is modeller's choice which refinery technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Carbon Sequestration|Direct Air Capture|1,US$2010/(tC/yr) OR local currency/(tC/yr),"Capital cost of a new DACCS. If more than one refinery technology is modelled, modellers should report capital costs for each represented DACCS technology by adding variables Capital Cost|Direct Air Capture|2, ... Capital Cost|Liquids|Oil|N (with N = number of represented technologies). It is modeller's choice which refinery technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Carbon Sequestration|Direct Air Capture|2,US$2010/(tC/yr) OR local currency/(tC/yr),"Capital cost of a new DACCS. If more than one refinery technology is modelled, modellers should report capital costs for each represented DACCS technology by adding variables Capital Cost|Direct Air Capture|2, ... Capital Cost|Liquids|Oil|N (with N = number of represented technologies). It is modeller's choice which refinery technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Biomass|w/ CCS|1,US$2010/kW OR local currency/kW,"Capital cost of a new biomass power plant with CCS. If more than one CCS biomass power technology is modelled, modellers should report capital costs for each represented CCS biomass power technology by adding variables Capital Cost|Electricity|Biomass|w/ CCS|2, ... Capital Cost|Electricity|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Biomass|w/o CCS|1,US$2010/kW OR local currency/kW,"Capital cost of a new biomass power plant w/o CCS. If more than one biomass power technology is modelled, modellers should report capital costs for each represented biomass power technology by adding variables Capital Cost|Electricity|Biomass|w/o CCS|2, ... Capital Cost|Electricity|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Biomass|w/o CCS|2,US$2010/kW OR local currency/kW,"Capital cost of a new biomass power plant w/o CCS. If more than one biomass power technology is modelled, modellers should report capital costs for each represented biomass power technology by adding variables Capital Cost|Electricity|Biomass|w/o CCS|2, ... Capital Cost|Electricity|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Coal|w/ CCS|1,US$2010/kW OR local currency/kW,"Capital cost of a new coal power plant with CCS. If more than one CCS coal power technology is modelled (e.g. subcritical PC with post-combustion capture, supercritical PC with post-combustion capture, supercritical PC with oxyfuel combustion and capture, IGCC with pre-combustion capture), modellers should report capital costs for each represented CCS coal power technology by adding variables Capital Cost|Electricity|Coal|w/ CCS|2, ... Capital Cost|Electricity|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Coal|w/ CCS|2,US$2010/kW OR local currency/kW,"Capital cost of a new coal power plant with CCS. If more than one CCS coal power technology is modelled (e.g. subcritical PC with post-combustion capture, supercritical PC with post-combustion capture, supercritical PC with oxyfuel combustion and capture, IGCC with pre-combustion capture), modellers should report capital costs for each represented CCS coal power technology by adding variables Capital Cost|Electricity|Coal|w/ CCS|2, ... Capital Cost|Electricity|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Coal|w/o CCS|1,US$2010/kW OR local currency/kW,"Capital cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report capital costs for each represented coal power technology by adding variables Capital Cost|Electricity|Coal|w/o CCS|2, ... Capital Cost|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Coal|w/o CCS|2,US$2010/kW OR local currency/kW,"Capital cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report capital costs for each represented coal power technology by adding variables Capital Cost|Electricity|Coal|w/o CCS|2, ... Capital Cost|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Coal|w/o CCS|3,US$2010/kW OR local currency/kW,"Capital cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report capital costs for each represented coal power technology by adding variables Capital Cost|Electricity|Coal|w/o CCS|2, ... Capital Cost|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Coal|w/o CCS|4,US$2010/kW OR local currency/kW,"Capital cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report capital costs for each represented coal power technology by adding variables Capital Cost|Electricity|Coal|w/o CCS|2, ... Capital Cost|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Gas|w/ CCS|1,US$2010/kW OR local currency/kW,"Capital cost of a new gas power plant with CCS. If more than one CCS gas power technology is modelled, modellers should report capital costs for each represented CCS gas power technology by adding variables Capital Cost|Electricity|Gas|w/ CCS|2, ... Capital Cost|Electricity|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Gas|w/o CCS|1,US$2010/kW OR local currency/kW,"Capital cost of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report capital costs for each represented gas power technology by adding variables Capital Cost|Electricity|Gas|w/o CCS|2, ... Capital Cost|Electricity|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Gas|w/o CCS|2,US$2010/kW OR local currency/kW,"Capital cost of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report capital costs for each represented gas power technology by adding variables Capital Cost|Electricity|Gas|w/o CCS|2, ... Capital Cost|Electricity|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Gas|w/o CCS|3,US$2010/kW OR local currency/kW,"Capital cost of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report capital costs for each represented gas power technology by adding variables Capital Cost|Electricity|Gas|w/o CCS|2, ... Capital Cost|Electricity|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Geothermal,US$2010/kW OR local currency/kW,"Capital cost of a new geothermal power plant. If more than one geothermal power technology is modelled, modellers should report capital costs for each represented geothermal power technology by adding variables Capital Cost|Electricity|Geothermal|2, ... Capital Cost|Electricity|Geothermal|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Hydro,US$2010/kW OR local currency/kW,"Capital cost of a new hydropower plant. If more than one hydropower technology is modelled, modellers should report capital costs for each represented hydropower technology by adding variables Capital Cost|Electricity|Hydro|2, ... Capital Cost|Electricity|Hydro|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Hydro|1,US$2010/kW OR local currency/kW,"Capital cost of a new hydropower plant. If more than one hydropower technology is modelled, modellers should report capital costs for each represented hydropower technology by adding variables Capital Cost|Electricity|Hydro|2, ... Capital Cost|Electricity|Hydro|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Hydro|2,US$2010/kW OR local currency/kW,"Capital cost of a new hydropower plant. If more than one hydropower technology is modelled, modellers should report capital costs for each represented hydropower technology by adding variables Capital Cost|Electricity|Hydro|2, ... Capital Cost|Electricity|Hydro|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Nuclear,US$2010/kW OR local currency/kW,"Capital cost of a new nuclear power plants. If more than one nuclear power plant technology is modelled (e.g., Gen II, III, IV; LWR, thermal reactors with other moderator materials, fast breeders), modellers should report capital costs for each represented nuclear power technology by adding variables Capital Cost|Electricity|Nuclear|2, ... Capital|Cost|Electricity|Nuclear|N (with N = number of represented nuclear power technologies). It is modeller's choice which nuclear power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Nuclear|1,US$2010/kW OR local currency/kW,"Capital cost of a new nuclear power plants. If more than one nuclear power plant technology is modelled (e.g., Gen II, III, IV; LWR, thermal reactors with other moderator materials, fast breeders), modellers should report capital costs for each represented nuclear power technology by adding variables Capital Cost|Electricity|Nuclear|2, ... Capital|Cost|Electricity|Nuclear|N (with N = number of represented nuclear power technologies). It is modeller's choice which nuclear power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Nuclear|2,US$2010/kW OR local currency/kW,"Capital cost of a new nuclear power plants. If more than one nuclear power plant technology is modelled (e.g., Gen II, III, IV; LWR, thermal reactors with other moderator materials, fast breeders), modellers should report capital costs for each represented nuclear power technology by adding variables Capital Cost|Electricity|Nuclear|2, ... Capital|Cost|Electricity|Nuclear|N (with N = number of represented nuclear power technologies). It is modeller's choice which nuclear power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Ocean,US$2010/kW OR local currency/kW,Capital cost of operating ocean power plants
Capital Cost|Electricity|Oil|w/ CCS,US$2010/kW OR local currency/kW,"Capital cost of a new oil power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS oil power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|oil|w/ CCS|1, ..., Capacity|Electricity|oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Capital Cost|Electricity|Oil|w/o CCS,US$2010/kW OR local currency/kW,Capital cost of a newoil plants
Capital Cost|Electricity|Oil|w/o CCS|1,US$2010/kW OR local currency/kW,Capital cost of a newoil plants
Capital Cost|Electricity|Oil|w/o CCS|2,US$2010/kW OR local currency/kW,Capital cost of a newoil plants
Capital Cost|Electricity|Oil|w/o CCS|3,US$2010/kW OR local currency/kW,Capital cost of a newoil plants
Capital Cost|Electricity|Solar|CSP|1,US$2010/kW OR local currency/kW,"Capital cost of a new concentrated solar power plant. If more than one CSP technology is modelled (e.g., parabolic trough, solar power tower), modellers should report capital costs for each represented CSP technology by adding variables Capital Cost|Electricity|Solar|CSP|2, ... Capital|Cost|Electricity|Solar|CSP|N (with N = number of represented CSP technologies). It is modeller's choice which CSP technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Solar|CSP|2,US$2010/kW OR local currency/kW,
Capital Cost|Electricity|Solar|PV|Commercial,US$2010/kW OR local currency/kW,"Capital cost of a new solar PV units. If more than one PV technology is modelled (e.g., centralized PV plant, distributed (rooftop) PV, crystalline SI PV, thin-film PV), modellers should report capital costs for each represented PV technology by adding variables Capital Cost|Electricity|Solar|PV|2, ... Capital|Cost|Electricity|Solar|PV|N (with N = number of represented PV technologies). It is modeller's choice which PV technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Solar|PV|Utility,US$2010/kW OR local currency/kW,"Capital cost of a new solar PV units. If more than one PV technology is modelled (e.g., centralized PV plant, distributed (rooftop) PV, crystalline SI PV, thin-film PV), modellers should report capital costs for each represented PV technology by adding variables Capital Cost|Electricity|Solar|PV|2, ... Capital|Cost|Electricity|Solar|PV|N (with N = number of represented PV technologies). It is modeller's choice which PV technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Wind|Offshore,US$2010/kW OR local currency/kW,"Capital cost of a new offshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one offshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report capital costs for each represented wind power technology by adding variables Capital Cost|Electricity|Wind|Offshore|2, ... Capital|Cost|Electricity|Wind|Offshore|N (with N = number of represented offshore wind power technologies). It is modeller's choice which offshore wind power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Electricity|Wind|Onshore,US$2010/kW OR local currency/kW,"Capital cost of a new onshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one onshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report capital costs for each represented wind power technology by adding variables Capital Cost|Electricity|Wind|Onshore|2, ... Capital|Cost|Electricity|Wind|Onshore|N (with N = number of represented onshore wind power technologies). It is modeller's choice which onshore wind power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Gases|Biomass|w/ CCS,US$2010/kW OR local currency/kW,"Capital cost of a new biomass to gas plant with CCS. If more than one CCS biomass to gas technology is modelled, modellers should report capital costs for each represented CCS biomass to  gas technology by adding variables Capital Cost|Gases|Biomass|w/ CCS|2, ... Capital Cost|Gases|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Gases|Biomass|w/o CCS,US$2010/kW OR local currency/kW,"Capital cost of a new biomass to gas plant w/o CCS. If more than one biomass to gas technology is modelled, modellers should report capital costs for each represented biomass to gas technology by adding variables Capital Cost|Gases|Biomass|w/o CCS|2, ... Capital Cost|Gases|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Gases|Coal|w/ CCS,US$2010/kW OR local currency/kW,"Capital cost of a new coal to gas plant with CCS. If more than one CCS coal to gas technology is modelled, modellers should report capital costs for each represented CCS coal to  gas technology by adding variables Capital Cost|Gases|Coal|w/ CCS|2, ... Capital Cost|Gases|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Gases|Coal|w/o CCS,US$2010/kW OR local currency/kW,"Capital cost of a new coal to gas plant w/o CCS. If more than one coal to gas technology is modelled, modellers should report capital costs for each represented coal to gas technology by adding variables Capital Cost|Gases|Coal|w/o CCS|2, ... Capital Cost|Gases|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Hydrogen|Biomass|w/ CCS,US$2010/kW OR local currency/kW,"Capital cost of a new biomass to hydrogen plant with CCS. If more than one CCS biomass to hydrogen technology is modelled, modellers should report capital costs for each represented CCS biomass to hydrogen technology by adding variables Capital Cost|Hydrogen|Biomass|w/ CCS|2, ... Capital Cost|Hydrogen|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Hydrogen|Biomass|w/o CCS,US$2010/kW OR local currency/kW,"Capital cost of a new biomass to hydrogen plant w/o CCS. If more than one biomass to hydrogen technology is modelled, modellers should report capital costs for each represented biomass to hydrogen technology by adding variables Capital Cost|Hydrogen|Biomass|w/o CCS|2, ... Capital Cost|Hydrogen|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Hydrogen|Coal|w/ CCS,US$2010/kW OR local currency/kW,"Capital cost of a new coal to hydrogen plant with CCS. If more than one CCS coal to hydrogen technology is modelled, modellers should report capital costs for each represented CCS coal to hydrogen technology by adding variables Capital Cost|Hydrogen|Coal|w/ CCS|2, ... Capital Cost|Hydrogen|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Hydrogen|Coal|w/o CCS,US$2010/kW OR local currency/kW,"Capital cost of a new coal to hydrogen plant w/o CCS. If more than one coal to hydrogen technology is modelled, modellers should report capital costs for each represented coal to hydrogen technology by adding variables Capital Cost|Hydrogen|Coal|w/o CCS|2, ... Capital Cost|Hydrogen|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Hydrogen|Electricity,US$2010/kW OR local currency/kW,"Capital cost of a new hydrogen-by-electrolysis plant. If more than hydrogen-by-electrolysis technology is modelled, modellers should report capital costs for each represented hydrogen-by-electrolysis technology by adding variables Capital Cost|Hydrogen|Electricity|2, ... Capital Cost|Hydrogen|Electricity|N (with N = number of represented technologies). It is modeller's choice which hydrogen-by-electrolysis technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Hydrogen|Gas|w/ CCS,US$2010/kW OR local currency/kW,"Capital cost of a new gas to hydrogen plant with CCS. If more than one CCS gas to hydrogen technology is modelled, modellers should report capital costs for each represented CCS gas to hydrogen technology by adding variables Capital Cost|Hydrogen|Gas|w/ CCS|2, ... Capital Cost|Hydrogen|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS gas to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Hydrogen|Gas|w/o CCS,US$2010/kW OR local currency/kW,"Capital cost of a new gas to hydrogen plant w/o CCS. If more than one gas to hydrogen technology is modelled, modellers should report capital costs for each represented gas to hydrogen technology by adding variables Capital Cost|Hydrogen|Gas|w/o CCS|2, ... Capital Cost|Hydrogen|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Liquids|Biomass|w/ CCS,US$2010/kW OR local currency/kW,"Capital cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report capital costs for each represented CCS BTL technology by adding variables Capital Cost|Liquids|Biomass|w/ CCS|2, ... Capital Cost|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Liquids|Biomass|w/ CCS|1,US$2010/kW OR local currency/kW,"Capital cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report capital costs for each represented CCS BTL technology by adding variables Capital Cost|Liquids|Biomass|w/ CCS|2, ... Capital Cost|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Liquids|Biomass|w/ CCS|2,US$2010/kW OR local currency/kW,"Capital cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report capital costs for each represented CCS BTL technology by adding variables Capital Cost|Liquids|Biomass|w/ CCS|2, ... Capital Cost|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Liquids|Biomass|w/o CCS,US$2010/kW OR local currency/kW,"Capital cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report capital costs for each represented BTL technology by adding variables Capital Cost|Liquids|Biomass|w/o CCS|2, ... Capital Cost|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Liquids|Biomass|w/o CCS|1,US$2010/kW OR local currency/kW,"Capital cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report capital costs for each represented BTL technology by adding variables Capital Cost|Liquids|Biomass|w/o CCS|2, ... Capital Cost|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Liquids|Biomass|w/o CCS|2,US$2010/kW OR local currency/kW,"Capital cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report capital costs for each represented BTL technology by adding variables Capital Cost|Liquids|Biomass|w/o CCS|2, ... Capital Cost|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Liquids|Coal|w/ CCS,US$2010/kW OR local currency/kW,"Capital cost of a new coal to liquids plant with CCS. If more than one CCS CTL technology is modelled, modellers should report capital costs for each represented CCS CTL technology by adding variables Capital Cost|Liquids|Coal|w/ CCS|2, ... Capital Cost|Liquids|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Liquids|Coal|w/ CCS|1,US$2010/kW OR local currency/kW,"Capital cost of a new coal to liquids plant with CCS. If more than one CCS CTL technology is modelled, modellers should report capital costs for each represented CCS CTL technology by adding variables Capital Cost|Liquids|Coal|w/ CCS|2, ... Capital Cost|Liquids|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
Capital Cost|Liquids|Coal|w/ CCS|2,US$2010/kW OR local currency/kW,"Capital cost of a new coal to liquids plant with CCS. If more than one CCS CTL technology is modelled, modellers should report capital costs for each represented CCS CTL technology by adding variables Capital Cost|Liquids|Coal|w/ CCS|2, ... Capital Cost|Liquids|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
