Variable,Unit,Definition
Cumulative Capacity|Electricity|Coal|w/ CCS|2,GW,"Cumulative installed capacity (since 2005) of coal power plants with CCS. The cumulative capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Coal|w/ CCS|1, ..., Cumulative Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Coal|w/ CCS|3,GW,
Cumulative Capacity|Electricity|Coal|w/ CCS|4,GW,
Cumulative Capacity|Electricity|Coal|w/o CCS,GW,"Cumulative installed capacity (since 2005) of coal power plants without CCS. The cumulative capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Coal|w/o CCS|1, ..., Cumulative Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Coal|w/o CCS|1,GW,"Cumulative installed capacity (since 2005) of coal power plants without CCS. The cumulative capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Coal|w/o CCS|1, ..., Cumulative Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Coal|w/o CCS|2,GW,"Cumulative installed capacity (since 2005) of coal power plants without CCS. The cumulative capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Coal|w/o CCS|1, ..., Cumulative Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Coal|w/o CCS|3,GW,"Cumulative installed capacity (since 2005) of coal power plants without CCS. The cumulative capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Coal|w/o CCS|1, ..., Cumulative Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Coal|w/o CCS|4,GW,"Cumulative installed capacity (since 2005) of coal power plants without CCS. The cumulative capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Coal|w/o CCS|1, ..., Cumulative Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Coal|w/o CCS|5,GW,
Cumulative Capacity|Electricity|Gas,GW,Cumulative installed capacity (since 2005)of operating gas plants
Cumulative Capacity|Electricity|Gas|w/ CCS,GW,"Cumulative installed capacity (since 2005) of gas power plants with CCS. The cumulative capacity of CCS gas power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Gas|w/ CCS|1, ..., Cumulative Capacity|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Gas|w/ CCS|1,GW,"Cumulative installed capacity (since 2005) of gas power plants with CCS. The cumulative capacity of CCS gas power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Gas|w/ CCS|1, ..., Cumulative Capacity|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Gas|w/ CCS|2,GW,
Cumulative Capacity|Electricity|Gas|w/ CCS|3,GW,
Cumulative Capacity|Electricity|Gas|w/o CCS,GW,"Cumulative installed capacity (since 2005) of gas power plants without CCS. The cumulative capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Gas|w/o CCS|1, ..., Cumulative Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Gas|w/o CCS|1,GW,"Cumulative installed capacity (since 2005) of gas power plants without CCS. The cumulative capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Gas|w/o CCS|1, ..., Cumulative Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Gas|w/o CCS|2,GW,"Cumulative installed capacity (since 2005) of gas power plants without CCS. The cumulative capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Gas|w/o CCS|1, ..., Cumulative Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Gas|w/o CCS|3,GW,"Cumulative installed capacity (since 2005) of gas power plants without CCS. The cumulative capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Gas|w/o CCS|1, ..., Cumulative Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Geothermal,GW,Cumulative installed geothermal electricity generation capacity
Cumulative Capacity|Electricity|Hydro,GW,"Cumulative installed capacity (since 2005) of hydropower plants. The cumulative capacity of hydropower plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Hydro|1, ..., Cumulative Capacity|Electricity|Hydro|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Hydro|1,GW,"Cumulative installed capacity (since 2005) of hydropower plants. The cumulative capacity of hydropower plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Hydro|1, ..., Cumulative Capacity|Electricity|Hydro|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Hydro|2,GW,"Cumulative installed capacity (since 2005) of hydropower plants. The cumulative capacity of hydropower plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Hydro|1, ..., Cumulative Capacity|Electricity|Hydro|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Nuclear,GW,"Cumulative installed capacity (since 2005) of nuclear power plants. The cumulative capacity of nuclear power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Nuclear|1, ..., Cumulative Capacity|Electricity|Nuclear|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Nuclear|1,GW,"Cumulative installed capacity (since 2005) of nuclear power plants. The cumulative capacity of nuclear power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Nuclear|1, ..., Cumulative Capacity|Electricity|Nuclear|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Nuclear|2,GW,"Cumulative installed capacity (since 2005) of nuclear power plants. The cumulative capacity of nuclear power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Nuclear|1, ..., Cumulative Capacity|Electricity|Nuclear|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Oil,GW,Cumulative installed capacity (since 2005)of operating oil plants
Cumulative Capacity|Electricity|Oil|w/ CCS,GW,"Cumulative installed capacity (since 2005) of oil power plants with CCS. The cumulative capacity of CCS oil power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Oil|w/ CCS|1, ..., Cumulative Capacity|Electricity|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Oil|w/o CCS,GW,"Cumulative installed capacity (since 2005) of oil power plants without CCS. The cumulative capacity of oil power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Oil|w/o CCS|1, ..., Cumulative Capacity|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Oil|w/o CCS|1,GW,"Cumulative installed capacity (since 2005) of oil power plants without CCS. The cumulative capacity of oil power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Oil|w/o CCS|1, ..., Cumulative Capacity|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Oil|w/o CCS|2,GW,"Cumulative installed capacity (since 2005) of oil power plants without CCS. The cumulative capacity of oil power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Oil|w/o CCS|1, ..., Cumulative Capacity|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Oil|w/o CCS|3,GW,"Cumulative installed capacity (since 2005) of oil power plants without CCS. The cumulative capacity of oil power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Oil|w/o CCS|1, ..., Cumulative Capacity|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Other,GW,Cumulative installed capacity (since 2005)of all others types of operating power plants
Cumulative Capacity|Electricity|Peak Demand,GW,peak (maximum) electricity load
Cumulative Capacity|Electricity|Solar,GW,Cumulative installed capacity (since 2005)of all operating solar facilities (both CSP and PV)
Cumulative Capacity|Electricity|Solar|CSP,GW,"Cumulative installed capacity (since 2005) of concentrated solar power plants. The cumulative capacity of CSP plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Solar|CSP|1, ..., Cumulative Capacity|Electricity|Solar|CSP|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Solar|CSP|1,GW,
Cumulative Capacity|Electricity|Solar|CSP|2,GW,
Cumulative Capacity|Electricity|Solar|PV,GW,"Cumulative installed capacity (since 2005) of solar PV. The cumulative capacity of PV  by technology type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Solar|PV|1, ..., Cumulative Capacity|Electricity|Solar|PV|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Storage,GW,Cumulative installed capacity (since 2005)of operating electricity storage
Cumulative Capacity|Electricity|Wind,GW,"Cumulative installed capacity (since 2005)of wind power plants (onshore + offshore). The installed (available) capacity of wind power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Wind|1, ..., Capacity|Electricity|Wind|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Wind|Offshore,GW,"Cumulative installed capacity (since 2005) of offshore wind power plants. The cumulative capacity of offshore wind power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Wind|Offshore|1, ..., Cumulative Capacity|Electricity|Wind|Offshore|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Electricity|Wind|Onshore,GW,"Cumulative installed capacity (since 2005) of onshore wind power plants. The cumulative capacity of onshore wind power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Wind|Onshore|1, ..., Cumulative Capacity|Electricity|Wind|Onshore|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Gases,GW,Cumulative installed capacity (since 2005)of all gas generation plants.
Cumulative Capacity|Gases|Biomass,GW,Cumulative installed capacity (since 2005)of biomass to gas plants.
Cumulative Capacity|Gases|Biomass|w/ CCS,GW,"Cumulative installed capacity (since 2005) of biomass to gas plants with CCS. The cumulative capacity of CCS biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Biomass|w/ CCS|1, ..., Cumulative Capacity|Gases|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Gases|Biomass|w/o CCS,GW,"Cumulative installed capacity (since 2005) of biomass to gas plants without CCS. The cumulative capacity of biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Biomass|w/o CCS|1, ..., Cumulative Capacity|Gases|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Gases|Coal,GW,Cumulative installed capacity (since 2005)of coal to gas plants.
Cumulative Capacity|Gases|Coal|w/ CCS,GW,"Cumulative installed capacity (since 2005) of coal to gas plants with CCS. The cumulative capacity of CCS coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Coal|w/ CCS|1, ..., Cumulative Capacity|Gases|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Gases|Coal|w/o CCS,GW,"Cumulative installed capacity (since 2005) of coal to gas plants without CCS. The cumulative capacity of coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Coal|w/o CCS|1, ..., Cumulative Capacity|Gases|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Gases|Other,GW,Cumulative installed capacity (since 2005)of other gas production plants.
Cumulative Capacity|Hydrogen,GW,Cumulative installed capacity (since 2005)of all hydrogen generation plants.
Cumulative Capacity|Hydrogen|Biomass,GW,Cumulative installed capacity (since 2005)of biomass to hydrogen plants.
Cumulative Capacity|Hydrogen|Biomass|w/ CCS,GW,"Cumulative installed capacity (since 2005) of biomass to hydrogen plants with CCS. The cumulative capacity of CCS biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/ CCS|1, ..., Cumulative Capacity|Hydrogen|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Hydrogen|Biomass|w/o CCS,GW,"Cumulative installed capacity (since 2005) of biomass to hydrogen plants without CCS. The cumulative capacity of biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/o CCS|1, ..., Cumulative Capacity|Hydrogen|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Hydrogen|Coal,GW,Cumulative installed capacity (since 2005)of coal to hydrogen plants.
Cumulative Capacity|Hydrogen|Coal|w/ CCS,GW,"Cumulative installed capacity (since 2005) of coal to hydrogen plants with CCS. The cumulative capacity of CCS coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Coal|w/ CCS|1, ..., Cumulative Capacity|Hydrogen|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Hydrogen|Coal|w/o CCS,GW,"Cumulative installed capacity (since 2005) of coal to hydrogen plants without CCS. The cumulative capacity of coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Coal|w/o CCS|1, ..., Cumulative Capacity|Hydrogen|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Hydrogen|Electricity,GW,"Cumulative installed capacity (since 2005) of hydrogen-by-electrolysis plants. The cumulative capacity of hydrogen-by-electrolysis plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Electricity|1, ..., Cumulative Capacity|Hydrogen|Electricity|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Hydrogen|Gas,GW,Cumulative installed capacity (since 2005)of gas to hydrogen plants.
Cumulative Capacity|Hydrogen|Gas|w/ CCS,GW,"Cumulative installed capacity (since 2005) of gas to hydrogen plants with CCS. The cumulative capacity of CCS gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Gas|w/ CCS|1, ..., Cumulative Capacity|Hydrogen|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Hydrogen|Gas|w/o CCS,GW,"Cumulative installed capacity (since 2005) of gas to hydrogen plants without CCS. The cumulative capacity of gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Gas|w/o CCS|1, ..., Cumulative Capacity|Hydrogen|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Hydrogen|Other,GW,"Cumulative installed capacity (since 2005) of hydrogen plants from other sources (e.g. thermochemical production from nuclear or solar heat). The cumulative capacity of hydrogen plants from other sources by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Other|1, ..., Cumulative Capacity|Hydrogen|Other|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids,GW,"Cumulative installed refined liquids (e.g. oil products, fossil synfuels and biofuels) production capacity since the year 2005"
Cumulative Capacity|Liquids|Biomass,GW,Cumulative installed capacity (since 2005)of biomass to liquids plants.
Cumulative Capacity|Liquids|Biomass|w/ CCS,GW,"Cumulative installed capacity (since 2005) of biomass to liquids plants with CCS. The cumulative capacity of CCS biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/ CCS|1, ..., Cumulative Capacity|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Biomass|w/ CCS|1,GW,"Cumulative installed capacity (since 2005) of biomass to liquids plants with CCS. The cumulative capacity of CCS biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/ CCS|1, ..., Cumulative Capacity|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Biomass|w/ CCS|2,GW,"Cumulative installed capacity (since 2005) of biomass to liquids plants with CCS. The cumulative capacity of CCS biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/ CCS|1, ..., Cumulative Capacity|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Biomass|w/o CCS,GW,"Cumulative installed capacity (since 2005) of biomass to liquids plants without CCS. The cumulative capacity of biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/o CCS|1, ..., Cumulative Capacity|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Biomass|w/o CCS|1,GW,"Cumulative installed capacity (since 2005) of biomass to liquids plants without CCS. The cumulative capacity of biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/o CCS|1, ..., Cumulative Capacity|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Biomass|w/o CCS|2,GW,"Cumulative installed capacity (since 2005) of biomass to liquids plants without CCS. The cumulative capacity of biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/o CCS|1, ..., Cumulative Capacity|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Coal,GW,Cumulative installed capacity (since 2005)of coal to liquids plants.
Cumulative Capacity|Liquids|Coal|w/ CCS,GW,"Cumulative installed capacity (since 2005) of coal to liquids plants with CCS. The cumulative capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/ CCS|1, ..., Cumulative Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Coal|w/ CCS|1,GW,"Cumulative installed capacity (since 2005) of coal to liquids plants with CCS. The cumulative capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/ CCS|1, ..., Cumulative Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Coal|w/ CCS|2,GW,"Cumulative installed capacity (since 2005) of coal to liquids plants with CCS. The cumulative capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/ CCS|1, ..., Cumulative Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Coal|w/o CCS,GW,"Cumulative installed capacity (since 2005) of coal to liquids plants without CCS. The cumulative capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/o CCS|1, ..., Cumulative Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Coal|w/o CCS|1,GW,"Cumulative installed capacity (since 2005) of coal to liquids plants without CCS. The cumulative capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/o CCS|1, ..., Cumulative Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Coal|w/o CCS|2,GW,"Cumulative installed capacity (since 2005) of coal to liquids plants without CCS. The cumulative capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/o CCS|1, ..., Cumulative Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Gas,GW,Cumulative installed capacity (since 2005)of gas to liquids plants.
Cumulative Capacity|Liquids|Gas|w/ CCS,GW,"Cumulative installed capacity (since 2005) of gas to liquids plants with CCS. The cumulative capacity of CCS gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Gas|w/ CCS|1, ..., Cumulative Capacity|Liquids|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Gas|w/o CCS,GW,"Cumulative installed capacity (since 2005) of gas to liquids plants without CCS. The cumulative capacity of gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Gas|w/o CCS|1, ..., Cumulative Capacity|Liquids|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Oil,GW,"Cumulative installed capacity (since 2005) of oil refining plants. The cumulative capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Oil|1, ..., Cumulative Capacity|Liquids|Oil|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Oil|w/ CCS,GW,"Cumulative installed capacity (since 2005)of oil refining plants with CCS. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/ CCS|1, ..., Capacity|Liquids|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Oil|w/o CCS,GW,"Cumulative installed capacity (since 2005)of oil refining plants without CCS. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/o CCS|1, ..., Capacity|Liquids|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Oil|w/o CCS|1,GW,"Cumulative installed capacity (since 2005)of oil refining plants without CCS. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/o CCS|1, ..., Capacity|Liquids|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Oil|w/o CCS|2,GW,"Cumulative installed capacity (since 2005)of oil refining plants without CCS. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/o CCS|1, ..., Capacity|Liquids|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). "
Cumulative Capacity|Liquids|Other,GW,Cumulative installed capacity (since 2005)of other liquid production plants.
Debt Service,%,Debt service as a percentage of exports of goods and services      
Diagnostics|MAGICC6|Carbon Flow|Air to Land|Gross,GtC/yr,
Diagnostics|MAGICC6|Carbon Flow|Air to Ocean,GtC/yr,
Diagnostics|MAGICC6|Carbon Flow|CH4 to CO2,GtC/yr,
Diagnostics|MAGICC6|Carbon Flow|Fossil,GtC/yr,
Diagnostics|MAGICC6|Carbon Flow|Land Use,GtC/yr,
Diagnostics|MAGICC6|Carbon Flow|Perma Frost,GtC/yr,
Diagnostics|MAGICC6|Carbon Pool|Atmosphere,GtC,
Diagnostics|MAGICC6|Concentration|CH4,ppb,
Diagnostics|MAGICC6|Concentration|CO2,ppm,
Diagnostics|MAGICC6|Concentration|N2O,ppb,
Diagnostics|MAGICC6|Forcing,W/m2,
Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,
Diagnostics|MAGICC6|Forcing|Aerosol|BC and OC,W/m2,
Diagnostics|MAGICC6|Forcing|Aerosol|Cloud Indirect,W/m2,
Diagnostics|MAGICC6|Forcing|Aerosol|Nitrate Direct,W/m2,
Diagnostics|MAGICC6|Forcing|Aerosol|Other,W/m2,
Diagnostics|MAGICC6|Forcing|Aerosol|Sulfate Direct,W/m2,
Diagnostics|MAGICC6|Forcing|Albedo Change and Mineral Dust,W/m2,
Diagnostics|MAGICC6|Forcing|CH4,W/m2,
Diagnostics|MAGICC6|Forcing|CO2,W/m2,
Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,
Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,
Diagnostics|MAGICC6|Forcing|Montreal Gases,W/m2,
Diagnostics|MAGICC6|Forcing|N2O,W/m2,
Diagnostics|MAGICC6|Forcing|Other,W/m2,
Diagnostics|MAGICC6|Forcing|Tropospheric Ozone,W/m2,
Diagnostics|MAGICC6|Harmonized Input|Emissions|BC,Mt BC/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|C2F6,kt C2F6/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|C6F14,kt C6F14/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|CH4,Mt CH4/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|CO,Mt CO/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|CO2|AFOLU,Mt CO2/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC125,kt HFC23/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC134a,kt HFC23/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC143a,kt HFC23/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC227ea,kt HFC23/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC23,kt HFC23/yr,
Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC245ca,kt HFC23/yr,
