Region,technology,parameter,Unit,value,availability,Description,Source
all,furnace_gas_aluminum,input|gas|final|low_temp,GWa,1.05,1980,The efficiency is used as a basis of calcualtion for other furnaces. 40% efficiency chosen,JRC report for aluminum. Furnace efficiencies between: 20% - 60%. https://publications.jrc.ec.europa.eu/repository/handle/JRC96680
all,furnace_h2_steel,input|hydrogen|final|low_temp,GWa,1.293841598815692,2030, Efficiency of gas furnaces are known from JRC report. Other furnaces are  corrected by the efficiency difference between gas and boilers with other fuels.,own calculation
all,dheat_aluminum,inv_cost,MUS2005/GW,27.69,1980,,
all,dheat_cement,inv_cost,MUS2005/GW,27.69,1980,,
all,dheat_petro,inv_cost,MUS2005/GW,27.69,1980,,
all,dheat_refining,inv_cost,MUS2005/GW,27.69,1980,,
all,dheat_resins,inv_cost,MUS2005/GW,27.69,1980,,
all,dheat_steel,inv_cost,MUS2005/GW,27.69,1980,,MESSAGE global model
all,fc_h2_aluminum,inv_cost,MUS2005/GW,1909.0,2030,,
all,fc_h2_cement,inv_cost,MUS2005/GW,1909.0,2030,,
all,fc_h2_petro,inv_cost,MUS2005/GW,1909.0,2030,,
all,fc_h2_refining,inv_cost,MUS2005/GW,1909.0,2030,,
all,fc_h2_resins,inv_cost,MUS2005/GW,1909.0,2030,,
all,fc_h2_steel,inv_cost,MUS2005/GW,1909.0,2030,,MESSAGE global model
all,furnace_biomass_aluminum,inv_cost,MUS2005/GW,195.47333333333333,1980,average of 12 regions in 2020,MESSAGE global model
all,furnace_biomass_cement,inv_cost,MUS2005/GW,195.47333333333333,1980,average of 12 regions in 2020,MESSAGE global model
all,furnace_biomass_petro,inv_cost,MUS2005/GW,195.47333333333333,1980,average of 12 regions in 2020,MESSAGE global model
all,furnace_biomass_refining,inv_cost,MUS2005/GW,195.47333333333333,1980,average of 12 regions in 2020,MESSAGE global model
all,furnace_biomass_resins,inv_cost,MUS2005/GW,195.47333333333333,1980,average of 12 regions in 2020,MESSAGE global model
all,furnace_biomass_steel,inv_cost,MUS2005/GW,195.47333333333333,1980,average of 12 regions in 2020,MESSAGE global model
all,furnace_coal_aluminum,inv_cost,MUS2005/GW,94.15,1980,,
all,furnace_coal_cement,inv_cost,MUS2005/GW,94.15,1980,,
all,furnace_coal_petro,inv_cost,MUS2005/GW,94.15,1980,,
all,furnace_coal_refining,inv_cost,MUS2005/GW,94.15,1980,,
all,furnace_coal_resins,inv_cost,MUS2005/GW,94.15,1980,,
all,furnace_coal_steel,inv_cost,MUS2005/GW,94.15,1980,,MESSAGE global model
all,furnace_coke_petro,inv_cost,MUS2005/GW,94.15,1980,,
all,furnace_coke_refining,inv_cost,MUS2005/GW,94.15,1980,,
all,furnace_elec_aluminum,inv_cost,MUS2005/GW,27.69,1980,,
all,furnace_elec_cement,inv_cost,MUS2005/GW,27.69,1980,,
all,furnace_elec_petro,inv_cost,MUS2005/GW,27.69,1980,,
all,furnace_elec_refining,inv_cost,MUS2005/GW,27.69,1980,,
all,furnace_elec_resins,inv_cost,MUS2005/GW,27.69,1980,,
all,furnace_elec_steel,inv_cost,MUS2005/GW,27.69,1980,,MESSAGE global model
all,furnace_gas_aluminum,inv_cost,MUS2005/GW,53.72,1980,,
all,furnace_gas_cement,inv_cost,MUS2005/GW,53.72,1980,,
all,furnace_gas_petro,inv_cost,MUS2005/GW,53.72,1980,,
all,furnace_gas_refining,inv_cost,MUS2005/GW,53.72,1980,,
all,furnace_gas_resins,inv_cost,MUS2005/GW,53.72,1980,,
all,furnace_gas_steel,inv_cost,MUS2005/GW,53.72,1980,,MESSAGE global model
all,furnace_ethanol_aluminum,inv_cost,MUS2005/GW,57.41,1980,,
all,furnace_ethanol_cement,inv_cost,MUS2005/GW,57.41,1980,,
all,furnace_ethanol_petro,inv_cost,MUS2005/GW,57.41,1980,,
all,furnace_ethanol_refining,inv_cost,MUS2005/GW,57.41,1980,,
all,furnace_ethanol_resins,inv_cost,MUS2005/GW,57.41,1980,,
all,furnace_ethanol_steel,inv_cost,MUS2005/GW,57.41,1980,,MESSAGE global model
all,furnace_foil_aluminum,inv_cost,MUS2005/GW,59.26,1980,,
all,furnace_foil_cement,inv_cost,MUS2005/GW,59.26,1980,,
all,furnace_foil_petro,inv_cost,MUS2005/GW,59.26,1980,,
all,furnace_foil_refining,inv_cost,MUS2005/GW,59.26,1980,,
all,furnace_foil_resins,inv_cost,MUS2005/GW,59.26,1980,,
all,furnace_foil_steel,inv_cost,MUS2005/GW,59.26,1980,,MESSAGE global model
all,furnace_h2_aluminum,inv_cost,MUS2005/GW,53.72,2030,,
all,furnace_h2_cement,inv_cost,MUS2005/GW,53.72,2030,,
all,furnace_h2_petro,inv_cost,MUS2005/GW,53.72,2030,,
all,furnace_h2_refining,inv_cost,MUS2005/GW,53.72,2030,,
all,furnace_h2_resins,inv_cost,MUS2005/GW,53.72,2030,,
all,furnace_h2_steel,inv_cost,MUS2005/GW,53.72,2030,,MESSAGE global model
all,furnace_loil_aluminum,inv_cost,MUS2005/GW,51.51,1980,,
all,furnace_loil_cement,inv_cost,MUS2005/GW,51.51,1980,,
all,furnace_loil_petro,inv_cost,MUS2005/GW,51.51,1980,,
all,furnace_loil_refining,inv_cost,MUS2005/GW,51.51,1980,,
all,furnace_loil_resins,inv_cost,MUS2005/GW,51.51,1980,,
all,furnace_loil_steel,inv_cost,MUS2005/GW,51.51,1980,,MESSAGE global model
all,furnace_methanol_aluminum,inv_cost,MUS2005/GW,57.4099999999999,2020,,
all,furnace_methanol_cement,inv_cost,MUS2005/GW,57.4099999999999,2020,,
all,furnace_methanol_petro,inv_cost,MUS2005/GW,57.4099999999999,2020,,
all,furnace_methanol_refining,inv_cost,MUS2005/GW,57.4099999999999,2020,,
all,furnace_methanol_resins,inv_cost,MUS2005/GW,57.4099999999999,2020,,
all,furnace_methanol_steel,inv_cost,MUS2005/GW,57.4099999999999,2020,,MESSAGE global model
all,hp_elec_aluminum,inv_cost,MUS2005/GW,443.08,1980,,
all,hp_elec_cement,inv_cost,MUS2005/GW,443.08,1980,,
all,hp_elec_petro,inv_cost,MUS2005/GW,443.08,1980,,
all,hp_elec_refining,inv_cost,MUS2005/GW,443.08,1980,,
all,hp_elec_resins,inv_cost,MUS2005/GW,443.08,1980,,
all,hp_elec_steel,inv_cost,MUS2005/GW,443.08,1980,,MESSAGE global model
all,solar_aluminum,inv_cost,MUS2005/GW,415.679999999996,1980,,
all,solar_cement,inv_cost,MUS2005/GW,415.679999999996,1980,,
all,solar_petro,inv_cost,MUS2005/GW,415.679999999996,1980,,
all,solar_refining,inv_cost,MUS2005/GW,415.679999999996,1980,,
all,solar_resins,inv_cost,MUS2005/GW,415.679999999996,1980,,
all,solar_steel,inv_cost,MUS2005/GW,415.679999999996,1980,,MESSAGE global model
all,furnace_biomass_refining,output|ht_heat|secondary|high_temp,GWa,1.0,1980,,
all,furnace_coal_refining,output|ht_heat|secondary|high_temp,GWa,1.0,1980,,
all,furnace_coke_refining,output|ht_heat|secondary|high_temp,GWa,1.0,1980,,
all,furnace_elec_refining,output|ht_heat|secondary|high_temp,GWa,1.0,1980,,
all,furnace_ethanol_refining,output|ht_heat|secondary|high_temp,GWa,1.0,1980,,
all,furnace_foil_refining,output|ht_heat|secondary|high_temp,GWa,1.0,1980,,
all,furnace_h2_refining,output|ht_heat|secondary|high_temp,GWa,1.0,2030,,
all,furnace_loil_refining,output|ht_heat|secondary|high_temp,GWa,1.0,1980,,
all,furnace_methanol_refining,output|ht_heat|secondary|high_temp,GWa,1.0,2020,,
all,furnace_gas_refining,output|ht_heat|secondary|high_temp,GWa,1.0,1980,,
all,furnace_biomass_aluminum,output|ht_heat|useful_aluminum|high_temp,GWa,1.0,1980,,
all,furnace_coal_aluminum,output|ht_heat|useful_aluminum|high_temp,GWa,1.0,1980,,
all,furnace_elec_aluminum,output|ht_heat|useful_aluminum|high_temp,GWa,1.0,1980,,
all,furnace_ethanol_aluminum,output|ht_heat|useful_aluminum|high_temp,GWa,1.0,1980,,
all,furnace_foil_aluminum,output|ht_heat|useful_aluminum|high_temp,GWa,1.0,1980,,
all,furnace_h2_aluminum,output|ht_heat|useful_aluminum|high_temp,GWa,1.0,2030,,
all,furnace_loil_aluminum,output|ht_heat|useful_aluminum|high_temp,GWa,1.0,1980,,
all,furnace_methanol_aluminum,output|ht_heat|useful_aluminum|high_temp,GWa,1.0,2020,,
all,furnace_gas_aluminum,output|ht_heat|useful_aluminum|high_temp,GWa,1.0,1980,,
all,furnace_biomass_cement,output|ht_heat|useful_cement|high_temp,GWa,1.0,1980,,
all,furnace_coal_cement,output|ht_heat|useful_cement|high_temp,GWa,1.0,1980,,
all,furnace_elec_cement,output|ht_heat|useful_cement|high_temp,GWa,1.0,1980,,
all,furnace_ethanol_cement,output|ht_heat|useful_cement|high_temp,GWa,1.0,1980,,
all,furnace_foil_cement,output|ht_heat|useful_cement|high_temp,GWa,1.0,1980,,
all,furnace_h2_cement,output|ht_heat|useful_cement|high_temp,GWa,1.0,2030,,
all,furnace_loil_cement,output|ht_heat|useful_cement|high_temp,GWa,1.0,1980,,
all,furnace_methanol_cement,output|ht_heat|useful_cement|high_temp,GWa,1.0,2020,,
all,furnace_gas_cement,output|ht_heat|useful_cement|high_temp,GWa,1.0,1980,,
all,furnace_biomass_petro,output|ht_heat|useful_petro|high_temp,GWa,1.0,1980,,
all,furnace_coal_petro,output|ht_heat|useful_petro|high_temp,GWa,1.0,1980,,
all,furnace_coke_petro,output|ht_heat|useful_petro|high_temp,GWa,1.0,1980,,
all,furnace_elec_petro,output|ht_heat|useful_petro|high_temp,GWa,1.0,1980,,
all,furnace_ethanol_petro,output|ht_heat|useful_petro|high_temp,GWa,1.0,1980,,
all,furnace_foil_petro,output|ht_heat|useful_petro|high_temp,GWa,1.0,1980,,
all,furnace_h2_petro,output|ht_heat|useful_petro|high_temp,GWa,1.0,2030,,
all,furnace_loil_petro,output|ht_heat|useful_petro|high_temp,GWa,1.0,1980,,
all,furnace_methanol_petro,output|ht_heat|useful_petro|high_temp,GWa,1.0,2020,,
all,furnace_gas_petro,output|ht_heat|useful_petro|high_temp,GWa,1.0,1980,,
all,furnace_biomass_resins,output|ht_heat|useful_resins|high_temp,GWa,1.0,1980,,
all,furnace_coal_resins,output|ht_heat|useful_resins|high_temp,GWa,1.0,1980,,
all,furnace_elec_resins,output|ht_heat|useful_resins|high_temp,GWa,1.0,1980,,
all,furnace_ethanol_resins,output|ht_heat|useful_resins|high_temp,GWa,1.0,1980,,
all,furnace_foil_resins,output|ht_heat|useful_resins|high_temp,GWa,1.0,1980,,
all,furnace_h2_resins,output|ht_heat|useful_resins|high_temp,GWa,1.0,2030,,
all,furnace_loil_resins,output|ht_heat|useful_resins|high_temp,GWa,1.0,1980,,
all,furnace_methanol_resins,output|ht_heat|useful_resins|high_temp,GWa,1.0,2020,,
all,furnace_gas_resins,output|ht_heat|useful_resins|high_temp,GWa,1.0,1980,,
all,furnace_biomass_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_coal_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_elec_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_ethanol_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_foil_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_h2_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,2030,,
all,furnace_loil_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,furnace_methanol_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,2020,,
all,furnace_gas_steel,output|ht_heat|useful_steel|high_temp,GWa,1.0,1980,,
all,fc_h2_refining,output|lt_heat|secondary|low_temp,GWa,1.0,2030,,
all,furnace_biomass_refining,output|lt_heat|secondary|low_temp,GWa,1.0,1980,,
all,furnace_coal_refining,output|lt_heat|secondary|low_temp,GWa,1.0,1980,,
all,furnace_coke_refining,output|lt_heat|secondary|low_temp,GWa,1.0,1980,,
all,furnace_elec_refining,output|lt_heat|secondary|low_temp,GWa,1.0,1980,,
all,furnace_ethanol_refining,output|lt_heat|secondary|low_temp,GWa,1.0,1980,,
all,furnace_foil_refining,output|lt_heat|secondary|low_temp,GWa,1.0,1980,,
all,furnace_h2_refining,output|lt_heat|secondary|low_temp,GWa,1.0,2030,,
all,furnace_loil_refining,output|lt_heat|secondary|low_temp,GWa,1.0,1980,,
all,furnace_methanol_refining,output|lt_heat|secondary|low_temp,GWa,1.0,2020,,
all,hp_elec_refining,output|lt_heat|secondary|low_temp,GWa,1.0,1980,,
all,solar_refining,output|lt_heat|secondary|low_temp,GWa,1.0,1980,,
all,furnace_gas_refining,output|lt_heat|secondary|low_temp,GWa,1.0,1980,,
all,dheat_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,1980,,
all,fc_h2_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,2030,,
all,furnace_biomass_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,1980,,
all,furnace_coal_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,1980,,
all,furnace_elec_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,1980,,
all,furnace_ethanol_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,1980,,
all,furnace_foil_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,1980,,
all,furnace_h2_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,2030,,
all,furnace_loil_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,1980,,
all,furnace_methanol_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,2020,,
all,hp_elec_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,1980,,
all,solar_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,1980,,
all,furnace_gas_aluminum,output|lt_heat|useful_aluminum|low_temp,GWa,1.0,1980,,
all,solar_cement,output|lt_heat|useful_cement|low_temp,GWa,1.0,1980,,
all,dheat_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,1980,,
all,fc_h2_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,2030,,
all,furnace_biomass_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,1980,,
all,furnace_coal_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,1980,,
all,furnace_coke_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,1980,,
all,furnace_elec_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,1980,,
all,furnace_ethanol_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,1980,,
all,furnace_foil_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,1980,,
all,furnace_h2_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,2030,,
all,furnace_loil_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,1980,,
all,furnace_methanol_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,2020,,
all,hp_elec_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,1980,,
all,solar_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,1980,,
all,furnace_gas_petro,output|lt_heat|useful_petro|low_temp,GWa,1.0,1980,,
all,dheat_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,1980,,
all,fc_h2_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,2030,,
all,furnace_biomass_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,1980,,
all,furnace_coal_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,1980,,
all,furnace_elec_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,1980,,
all,furnace_ethanol_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,1980,,
all,furnace_foil_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,1980,,
all,furnace_h2_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,2030,,
all,furnace_loil_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,1980,,
all,furnace_methanol_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,2020,,
all,hp_elec_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,1980,,
all,solar_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,1980,,
all,furnace_gas_resins,output|lt_heat|useful_resins|low_temp,GWa,1.0,1980,,
all,dheat_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,fc_h2_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,2030,,
all,furnace_biomass_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_coal_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_elec_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_ethanol_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_foil_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_h2_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,2030,,
all,furnace_loil_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_methanol_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,2020,,
all,hp_elec_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,solar_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,furnace_gas_steel,output|lt_heat|useful_steel|low_temp,GWa,1.0,1980,,
all,fc_h2_cement,technical_lifetime,yr,10.0,2030,,
all,fc_h2_petro,technical_lifetime,yr,10.0,2030,,
all,fc_h2_refining,technical_lifetime,yr,10.0,2030,,
all,fc_h2_resins,technical_lifetime,yr,10.0,2030,,
all,fc_h2_steel,technical_lifetime,yr,10.0,2030,,MESSAGE Global model
all,solar_cement,technical_lifetime,yr,15.0,1980,,
all,solar_petro,technical_lifetime,yr,15.0,1980,,
all,solar_refining,technical_lifetime,yr,15.0,1980,,
all,solar_resins,technical_lifetime,yr,15.0,1980,,
all,solar_steel,technical_lifetime,yr,15.0,1980,,MESSAGE Global model
all,dheat_cement,technical_lifetime,yr,20.0,1980,,
all,dheat_petro,technical_lifetime,yr,20.0,1980,,
all,dheat_refining,technical_lifetime,yr,20.0,1980,,
all,dheat_resins,technical_lifetime,yr,20.0,1980,,
all,dheat_steel,technical_lifetime,yr,20.0,1980,,MESSAGE Global model
all,furnace_elec_cement,technical_lifetime,yr,20.0,1980,,
all,furnace_elec_petro,technical_lifetime,yr,20.0,1980,,
all,furnace_elec_refining,technical_lifetime,yr,20.0,1980,,
all,furnace_elec_resins,technical_lifetime,yr,20.0,1980,,
all,furnace_elec_steel,technical_lifetime,yr,20.0,1980,,MESSAGE Global model
all,hp_elec_cement,technical_lifetime,yr,20.0,1980,,
all,hp_elec_petro,technical_lifetime,yr,20.0,1980,,
all,hp_elec_refining,technical_lifetime,yr,20.0,1980,,
all,hp_elec_resins,technical_lifetime,yr,20.0,1980,,
all,hp_elec_steel,technical_lifetime,yr,20.0,1980,,MESSAGE Global model
all,furnace_biomass_cement,technical_lifetime,yr,25.0,1980,,
all,furnace_biomass_petro,technical_lifetime,yr,25.0,1980,,
all,furnace_biomass_refining,technical_lifetime,yr,25.0,1980,,
all,furnace_biomass_resins,technical_lifetime,yr,25.0,1980,,
all,furnace_biomass_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
all,furnace_coal_cement,technical_lifetime,yr,25.0,1980,,
all,furnace_coal_petro,technical_lifetime,yr,25.0,1980,,
all,furnace_coal_refining,technical_lifetime,yr,25.0,1980,,
all,furnace_coal_resins,technical_lifetime,yr,25.0,1980,,
all,furnace_coal_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
all,furnace_coke_petro,technical_lifetime,yr,25.0,1980,,
all,furnace_coke_refining,technical_lifetime,yr,25.0,1980,,
all,furnace_ethanol_cement,technical_lifetime,yr,25.0,1980,,
all,furnace_ethanol_petro,technical_lifetime,yr,25.0,1980,,
all,furnace_ethanol_refining,technical_lifetime,yr,25.0,1980,,
all,furnace_ethanol_resins,technical_lifetime,yr,25.0,1980,,
all,furnace_ethanol_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
all,furnace_foil_cement,technical_lifetime,yr,25.0,1980,,
all,furnace_foil_petro,technical_lifetime,yr,25.0,1980,,
all,furnace_foil_refining,technical_lifetime,yr,25.0,1980,,
all,furnace_foil_resins,technical_lifetime,yr,25.0,1980,,
all,furnace_foil_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
all,furnace_h2_cement,technical_lifetime,yr,25.0,2030,,
all,furnace_h2_petro,technical_lifetime,yr,25.0,2030,,
all,furnace_h2_refining,technical_lifetime,yr,25.0,2030,,
all,furnace_h2_resins,technical_lifetime,yr,25.0,2030,,
all,furnace_h2_steel,technical_lifetime,yr,25.0,2030,,MESSAGE Global model
all,furnace_loil_cement,technical_lifetime,yr,25.0,1980,,
all,furnace_loil_petro,technical_lifetime,yr,25.0,1980,,
all,furnace_loil_refining,technical_lifetime,yr,25.0,1980,,
all,furnace_loil_resins,technical_lifetime,yr,25.0,1980,,
all,furnace_loil_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
all,furnace_methanol_cement,technical_lifetime,yr,25.0,2020,,
all,furnace_methanol_petro,technical_lifetime,yr,25.0,2020,,
all,furnace_methanol_refining,technical_lifetime,yr,25.0,2020,,
all,furnace_methanol_resins,technical_lifetime,yr,25.0,2020,,
all,furnace_methanol_steel,technical_lifetime,yr,25.0,2020,,MESSAGE Global model
all,dheat_aluminum,technical_lifetime,yr,20.0,1980,,
all,fc_h2_aluminum,technical_lifetime,yr,10.0,2030,,
all,furnace_biomass_aluminum,technical_lifetime,yr,25.0,1980,,
all,furnace_coal_aluminum,technical_lifetime,yr,25.0,1980,,
all,furnace_elec_aluminum,technical_lifetime,yr,20.0,1980,,
all,furnace_ethanol_aluminum,technical_lifetime,yr,25.0,1980,,
all,furnace_gas_cement,technical_lifetime,yr,25.0,1980,,
all,furnace_foil_aluminum,technical_lifetime,yr,25.0,1980,,
all,furnace_gas_petro,technical_lifetime,yr,25.0,1980,,
all,furnace_gas_refining,technical_lifetime,yr,25.0,1980,,
all,furnace_gas_resins,technical_lifetime,yr,25.0,1980,,
all,furnace_h2_aluminum,technical_lifetime,yr,25.0,2030,,
all,furnace_loil_aluminum,technical_lifetime,yr,25.0,1980,,
all,furnace_gas_steel,technical_lifetime,yr,25.0,1980,,MESSAGE Global model
all,furnace_methanol_aluminum,technical_lifetime,yr,25.0,2020,,
all,hp_elec_aluminum,technical_lifetime,yr,20.0,1980,,
all,furnace_gas_aluminum,technical_lifetime,yr,25.0,1980,,
all,solar_aluminum,technical_lifetime,yr,15.0,1980,,
